Word,Word,N_Dens (S),N_Freq (S) [1],N_Freq (S) [2],"N_Dens (S,A,D)","N_Freq (S,A,D) [1]","N_Freq (S,A,D) [2]",Neighbours,Neighbours,Edit distance to nw,Phon spread,C_coeff (sub only),C_coeff (SAD),Uniqueness point,n_watch
abominable,əˈbɒm(ə)nəb(ə)l,0,0,0,0,0,0,[],[],1,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
abortion,əˈbɔːʃ(ə)n,1,0,0,1,0,0,['əˈpɔːʃ(ə)n'],['apportion'],4,1,0,0,7,"[0, 1, 0, 0, 0, 0]"
abound,əˈbaʊnd,1,4.574887431,4.574887431,2,3.774238527,3.774238527,"['baʊnd', 'əˈraʊnd']","['bound', 'around']",3,1,0,0,6,"[0, 1, 0, 0, 0]"
about,əˈbaʊt,4,1.193578136,1.193578136,5,1.552663432,1.552663432,"['baʊt', 'əˈbeɪt', 'əˈbɛt', 'əˈbɔːt', 'əˈbʌt']","['bout', 'abate', 'abet', 'abort', 'abut']",2,1,1,0.6,4,"[0, 0, 4, 0]"
above,əˈbʌv,1,0.84509804,0.84509804,1,0.84509804,0.84509804,['əˈbʌt'],['abut'],2,1,0,0,4,"[0, 0, 0, 1]"
abrasive,əˈbreɪsɪv,0,0,0,0,0,0,[],[],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
abreast,əˈbrɛst,2,2.054789274,2.054789274,4,2.109316089,2.109316089,"['brɛst', 'əˈprɛst', 'əˈrɛst', 'əˈdrɛst']","['brest', 'oppressed', 'arrest', 'addressed']",3,1,1,0.666666667,4,"[0, 2, 0, 0, 0, 0]"
abroad,əˈbrɔːd,1,0.301029996,0.301029996,3,2.103489098,2.103489098,"['brɔːd', 'əˈbreɪd', 'əˈbɔːd']","['broad', 'abrade', 'aboard']",2,1,0,0,4,"[0, 0, 0, 1, 0]"
abrupt,əˈbrʌpt,0,0,0,0,0,0,[],[],1,0,0,0,7,"[0, 0, 0, 0, 0, 0]"
absence,ˈabs(ə)ns,0,0,0,0,0,0,[],[],2,0,0,0,6,"[0, 0, 0, 0, 0, 0]"
absent,ˈabs(ə)nt,2,2.651496454,2.651496454,3,2.193915503,2.193915503,"['ˌabs(ə)nˈtiː', 'ˈabs(ə)ns', 'ˈaks(ə)nt']","['absentee', 'absence', 'accent']",2,2,0,0,7,"[0, 1, 0, 0, 0, 1]"
absentee,ˌabs(ə)nˈtiː,0,0,0,0,0,0,[],[],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
absentminded,ˌabs(ə)ntˈmʌɪndɪd,0,0,0,0,0,0,[],[],4,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
absolute,ˈabsəluːt,0,0,0,0,0,0,[],[],3,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
absolutely,ˈabsəluːtli,0,0,0,0,0,0,[],[],6,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
absorb,əbˈzɔːb,0,0,0,1,0.602059991,0.602059991,['əbˈzɔːbə'],['absorber'],5,0,0,0,6,"[0, 0, 0, 0, 0]"
abstain,əbˈsteɪn,0,0,0,2,1.140516684,2.281033367,"['əbˈteɪn', 'əbˈsteɪnə']","['obtain', 'abstainer']",3,0,0,0,7,"[0, 0, 0, 0, 0, 0]"
abstract,ˈabstrakt,0,0,0,0,0,0,[],[],4,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0]"
abstracts,ˈabstrakts,0,0,0,1,2.049218023,2.049218023,['ˈabstrakt'],['abstract'],4,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
absurd,əbˈsəːd,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0]"
abundant,əˈbʌnd(ə)nt,1,1.662757832,1.662757832,1,1.662757832,1.662757832,['əˈbʌnd(ə)ns'],['abundance'],3,1,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 1]"
abuse,əˈbjuːz,2,2.295498894,2.295498894,3,2.318828591,2.318828591,"['əˈmjuːz', 'əˈbjuːzd', 'əˈkjuːz']","['amuse', 'abused', 'accuse']",3,1,1,0.333333333,6,"[0, 2, 0, 0, 0]"
academic,akəˈdɛmɪk,0,0,0,0,0,0,[],[],6,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0]"
academy,əˈkadəmi,0,0,0,0,0,0,[],[],4,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0]"
accelerate,əkˈsɛləreɪt,0,0,0,1,1.84509804,1.84509804,['əkˈsɛləreɪtə'],['accelerator'],4,0,0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
accent,ˈaks(ə)nt,0,0,0,0,0,0,[],[],3,0,0,0,5,"[0, 0, 0, 0, 0, 0]"
accept,əkˈsɛpt,1,3.755646219,3.755646219,1,3.755646219,3.755646219,['ɪkˈsɛpt'],['except'],5,1,0,0,7,"[1, 0, 0, 0, 0, 0]"
acceptance,əkˈsɛpt(ə)ns,0,0,0,0,0,0,[],[],4,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
access,ˈaksɛs,2,2.054856752,2.054856752,2,2.054856752,2.054856752,"['ˈɛksɛs', 'ˈaksɪs']","['excess', 'axis']",2,2,0,0,5,"[1, 0, 0, 1, 0]"
accessible,əkˈsɛsɪb(ə)l,0,0,0,0,0,0,[],[],5,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
accessory,əkˈsɛs(ə)ri,0,0,0,0,0,0,[],[],5,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0]"
accident,ˈaksɪd(ə)nt,2,0.150514998,0.301029996,2,0.150514998,0.301029996,"['ˈɒksɪd(ə)nt', 'ˈaksɪd(ə)ns']","['occident', 'accidence']",4,2,0,0,8,"[1, 0, 0, 0, 0, 0, 0, 1]"
accidental,aksɪˈdɛnt(ə)l,1,0.903089987,0.903089987,2,1.778151251,1.778151251,"['ɒksɪˈdɛnt(ə)l', 'aksɪˈdɛnt(ə)li']","['occidental', 'accidentally']",2,1,0,0,11,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
acclamation,ˌakləˈmeɪʃ(ə)n,0,0,0,0,0,0,[],[],6,0,0,0,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
accommodate,əˈkɒmədeɪt,0,0,0,0,0,0,[],[],3,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0]"
accommodation,əkɒməˈdeɪʃ(ə)n,0,0,0,0,0,0,[],[],3,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
accompaniment,əˈkʌmp(ə)nɪm(ə)nt,0,0,0,0,0,0,[],[],5,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
accomplice,əˈkɒmplɪs,1,2.475671188,2.475671188,1,2.475671188,2.475671188,['əˈkɒmplɪʃ'],['accomplish'],3,1,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 1]"
accomplish,əˈkɒmplɪʃ,1,2.336459734,2.336459734,2,2.460960232,2.460960232,"['əˈkɒmplɪs', 'əˈkɒmplɪʃt']","['accomplice', 'accomplished']",3,1,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 1]"
accord,əˈkɔːd,4,2.326724218,3.102298957,5,2.372398264,2.96549783,"['kɔːd', 'əˈwɔːd', 'əˈkɔːs', 'əˈbɔːd', 'əˈfɔːd']","['cord', 'award', 'acourse', 'aboard', 'afford']",2,2,0.5,0.3,5,"[0, 3, 0, 1]"
accordance,əˈkɔːd(ə)ns,0,0,0,0,0,0,[],[],3,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
accordion,əˈkɔːdɪən,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0, 0, 0]"
account,əˈkaʊnt,1,3.101403351,3.101403351,2,3.381560705,3.381560705,"['kaʊnt', 'əˈmaʊnt']","['count', 'amount']",2,1,0,0,6,"[0, 1, 0, 0, 0]"
accountant,əˈkaʊnt(ə)nt,0,0,0,0,0,0,[],[],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0]"
accumulate,əˈkjuːmjʊleɪt,0,0,0,2,0.150514998,0.301029996,"['ˈkjuːmjʊleɪt', 'əˈkjuːmjʊleɪtə']","['cumulate', 'accumulator']",5,0,0,0,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
accuracy,ˈakjʊrəsi,0,0,0,0,0,0,[],[],3,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 0]"
accurate,ˈakjʊrət,0,0,0,0,0,0,[],[],4,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0]"
accursed,əˈkəːst,2,0.451544994,0.451544994,3,0.602059991,0.602059991,"['kəːst', 'əˈθəːst', 'əˈkɒst']","['curst', 'athirst', 'accost']",1,2,0,0,5,"[0, 1, 1, 0, 0]"
accusation,akjʊˈzeɪʃ(ə)n,0,0,0,0,0,0,[],[],6,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
accuse,əˈkjuːz,3,2.341804344,2.341804344,5,2.21073177,2.21073177,"['əˈmjuːz', 'əˈkjuːzə', 'əˈbjuːz', 'əˈkjuːzd', 'əˈkjuːt']","['amuse', 'accuser', 'abuse', 'accused', 'acute']",3,2,0.333333333,0.2,6,"[0, 2, 0, 0, 1]"
accuser,əˈkjuːzə,1,2.824125834,2.824125834,2,2.644009412,2.644009412,"['əˈkjuːz', 'əˈkjuːzd']","['accuse', 'accused']",3,1,0,1,7,"[0, 0, 0, 0, 0, 1]"
accustom,əˈkʌstəm,0,0,0,2,2.338575261,2.338575261,"['ˈkʌstəm', 'əˈkʌstəmd']","['custom', 'accustomed']",2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
ace,eɪs,11,2.220857439,2.714381314,22,2.54300239,2.797302629,"['əːs', 'eɪts', 'deɪs', 'ɑːs', 'eɪtʃ', 'reɪs', 'peɪs', 'meɪs', 'leɪs', 'feɪs', 'eɪ', 'eɪt', 'tʃeɪs', 'keɪs', 'beɪs', 'as', 'eɪp', 'eɪd', 'eɪl', 'eɪm', 'eɪk', 'eɪdʒ']","['erse', 'eights', 'dace', 'arse', 'aitch', 'race', 'pace', 'mace', 'lace', 'face', 'eh', 'eight', 'chase', 'case', 'base', 'ass', 'ape', 'aide', 'ail', 'aim', 'ache', 'age']",1,2,0.563636364,0.329004329,3,"[3, 8]"
ache,eɪk,13,2.018389739,2.186588884,25,2.607656138,2.716308477,"['ɒk', 'heɪk', 'ɔːk', 'eɪtʃ', 'weɪk', 'teɪk', 'ʃeɪk', 'seɪk', 'reɪk', 'əʊk', 'meɪk', 'leɪk', 'dʒeɪk', 'əːk', 'eɪ', 'eɪt', 'keɪk', 'beɪk', 'eɪp', 'ɑːk', 'eɪd', 'eɪl', 'eɪm', 'eɪs', 'eɪdʒ']","['och', 'hake', 'auk', 'aitch', 'wake', 'take', 'shake', 'sake', 'rake', 'oak', 'make', 'lake', 'jake', 'irk', 'eh', 'eight', 'cake', 'bake', 'ape', 'arc', 'aide', 'ail', 'aim', 'ace', 'age']",2,2,0.487179487,0.336666667,3,"[5, 8]"
achieve,əˈtʃiːv,0,0,0,0,0,0,[],[],2,0,0,0,5,"[0, 0, 0, 0]"
acid,ˈasɪd,4,2.025424295,2.025424295,4,2.025424295,2.025424295,"['ˈavɪd', 'ˈasɪz', 'ˈarɪd', 'ˈadɪd']","['avid', 'asses', 'arid', 'added']",3,2,0.5,0.5,5,"[0, 3, 0, 1]"
acidic,əˈsɪdɪk,0,0,0,0,0,0,[],[],2,0,0,0,6,"[0, 0, 0, 0, 0, 0]"
acknowledge,əkˈnɒlɪdʒ,0,0,0,1,2.004321374,2.004321374,['əkˈnɒlɪdʒd'],['acknowledged'],3,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
acne,ˈakni,1,1.812913357,1.812913357,2,1.145017306,1.145017306,"['ˈhakni', 'ˈakmi']","['hackney', 'acme']",2,1,0,0,3,"[0, 0, 1, 0]"
acorn,ˈeɪkɔːn,1,1.77815125,1.77815125,2,2.319543936,2.319543936,"['skɔːn', 'kɔːn']","['scorn', 'corn']",1,1,0,1,3,"[1, 0, 0, 0]"
acoustic,əˈkuːstɪk,0,0,0,0,0,0,[],[],3,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
acquaint,əˈkweɪnt,0,0,0,1,2.049218023,2.049218023,['kweɪnt'],['quaint'],5,0,0,0,7,"[0, 0, 0, 0, 0, 0]"
acquire,əˈkwʌɪə,1,2.198657087,2.198657087,2,1.249843542,1.249843542,"['kwʌɪə', 'skwʌɪə']","['quire', 'squire']",5,1,0,1,6,"[1, 0, 0, 0, 0]"
acquisition,ˌakwɪˈzɪʃ(ə)n,0,0,0,0,0,0,[],[],6,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
acre,ˈeɪkə,4,0.608242323,2.432969291,11,1.39285079,2.188765528,"['ˈʌkə', 'ˈneɪkə', 'ˈeɪdə', 'ˈteɪkə', 'ˈʃeɪkə', 'ˈəʊkə', 'ˈmeɪkə', 'ˈfeɪkə', 'ˈbeɪkə', 'ˈeɪʒə', 'eɪk']","['ucca', 'nacre', 'aida', 'taker', 'shaker', 'ochre', 'maker', 'faker', 'baker', 'asia', 'ache']",2,2,0.333333333,0.309090909,4,"[2, 2, 0]"
acrobat,ˈakrəbat,0,0,0,0,0,0,[],[],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
acrobatic,akrəˈbatɪk,0,0,0,1,1.079181246,1.079181246,['akrəˈbatɪks'],['acrobatics'],2,0,0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
acrobatics,akrəˈbatɪks,0,0,0,1,1.113943352,1.113943352,['akrəˈbatɪk'],['acrobatic'],4,0,0,0,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
across,əˈkrɒs,0,0,0,2,1.104757508,1.104757508,"['krɒs', 'ləˈkrɒs']","['crosse', 'lacrosse']",3,0,0,0,6,"[0, 0, 0, 0, 0]"
acrylic,əˈkrɪlɪk,0,0,0,0,0,0,[],[],3,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0]"
act,akt,3,2.246115349,2.246115349,8,2.521352772,2.521352772,"['wakt', 'takt', 'pakt', 'fakt', 'aks', 'apt', 'ant', 'ˈaktə']","['whacked', 'tact', 'pact', 'fact', 'ax', 'apt', 'ant', 'actor']",3,2,0.333333333,0.25,4,"[0, 2, 1]"
action,ˈakʃ(ə)n,2,2.124538002,2.124538002,4,1.754982004,1.754982004,"['ˈfakʃ(ə)n', 'ˈaʃ(ə)n', 'ˈɔːkʃ(ə)n', 'ˈakrən']","['faction', 'ashen', 'auction', 'akron']",3,2,0,0,6,"[1, 0, 1, 0, 0]"
activate,ˈaktɪveɪt,0,0,0,0,0,0,[],[],2,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0]"
active,ˈaktɪv,2,2.301788684,2.301788684,2,2.301788684,2.301788684,"['ˈɒktɪv', 'ˈaktɪŋ']","['octave', 'acting']",3,2,0,0,6,"[1, 0, 0, 0, 1]"
activity,akˈtɪvɪti,0,0,0,0,0,0,[],[],2,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 0]"
actor,ˈaktə,2,0.520696343,1.041392685,5,1.873829404,2.342286756,"['ˈatə', 'ˈantə', 'ˈfaktə', 'ˈastə', 'akt']","['atta', 'anta', 'factor', 'aster', 'act']",2,1,1,0.3,4,"[0, 2, 0, 0]"
actual,ˈaktjʊəl,0,0,0,1,0,0,['ˈtaktjʊəl'],['tactual'],5,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
actuality,aktʃʊˈalɪti,0,0,0,0,0,0,[],[],3,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
actually,ˈaktʃʊəli,1,0.903089987,0.903089987,1,0.903089987,0.903089987,['ˈaktʃʊ(ə)ri'],['actuary'],4,1,0,0,5,"[0, 0, 0, 0, 1, 0]"
acute,əˈkjuːt,1,2.463892989,2.463892989,2,3.057391534,3.057391534,"['kjuːt', 'əˈkjuːz']","['cute', 'accuse']",3,1,0,0,6,"[0, 0, 0, 0, 1]"
adamant,ˈadəm(ə)nt,0,0,0,0,0,0,[],[],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
adapt,əˈdapt,2,1.954938409,1.954938409,3,1.663019355,1.663019355,"['əˈdaptə', 'əˈdɛpt', 'əˈdɒpt']","['adapter', 'adept', 'adopt']",2,1,1,0.333333333,6,"[0, 0, 2, 0, 0]"
adaptability,ədaptəˈbɪləti,0,0,0,0,0,0,[],[],3,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
adaptation,adəpˈteɪʃ(ə)n,0,0,0,0,0,0,[],[],6,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
add,ad,11,1.690162214,2.065753817,20,2.112949801,2.485823295,"['ʃad', 'uːd', 'ap', 'sad', 'pad', 'ɒd', 'əʊd', 'lad', 'ʌɪd', 'ɪəd', 'dad', 'tʃad', 'ɔːd', 'bad', 'aʃ', 'as', 'an', 'eɪd', 'adz', 'ˈadə']","['shad', 'oud', 'app', 'sad', 'pad', 'odd', 'ode', 'lad', ""i'd"", 'eared', 'dad', 'chad', 'awed', 'bad', 'ash', 'ass', 'anne', 'aide', 'adze', 'adder']",1,2,0.490909091,0.257894737,3,"[7, 4]"
addict,ˈadɪkt,1,1.230448921,1.230448921,1,1.230448921,1.230448921,['ˈiːdɪkt'],['edict'],2,1,0,0,5,"[1, 0, 0, 0, 0]"
addiction,əˈdɪkʃ(ə)n,0,0,0,2,2.006334267,2.006334267,"['ˈdɪkʃ(ə)n', 'əˈdɪʃ(ə)n']","['diction', 'addition']",4,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
addition,əˈdɪʃ(ə)n,2,2.623372355,2.623372355,5,2.190794826,2.190794826,"['pəˈdɪʃ(ə)n', 'ɪˈdɪʃ(ə)n', 'ɔːˈdɪʃ(ə)n', 'əˈdɪkʃ(ə)n', 'ədˈmɪʃ(ə)n']","['perdition', 'edition', 'audition', 'addiction', 'admission']",3,1,1,0.1,7,"[2, 0, 0, 0, 0, 0]"
additional,əˈdɪʃ(ə)n(ə)l,0,0,0,1,1.230448921,1.230448921,['əˈdɪʃənəli'],['additionally'],4,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0]"
additive,ˈadɪtɪv,0,0,0,0,0,0,[],[],2,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
address,əˈdrɛs,2,0.778151251,0.778151251,4,1.873625473,1.873625473,"['əˈɡrɛs', 'əˈprɛs', 'drɛs', 'əˈdrɛst']","['aggress', 'oppress', 'dress', 'addressed']",1,1,1,0.166666667,6,"[0, 2, 0, 0, 0]"
addressee,ˌadrɛˈsiː,0,0,0,0,0,0,[],[],3,0,0,0,3,"[0, 0, 0, 0, 0, 0]"
adequate,ˈadɪkwət,0,0,0,0,0,0,[],[],1,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
adjacent,əˈdʒeɪs(ə)nt,0,0,0,0,0,0,[],[],2,0,0,0,3,"[0, 0, 0, 0, 0, 0, 0]"
adjective,ˈadʒɪktɪv,0,0,0,0,0,0,[],[],2,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0]"
adjourn,əˈdʒəːn,2,0.150514998,0.301029996,2,0.150514998,0.301029996,"['əˈtəːn', 'əˈdʒɔɪn']","['attorn', 'adjoin']",3,2,0,0,5,"[0, 1, 1, 0]"
adjust,əˈdʒʌst,0,0,0,2,3.353202993,3.353202993,"['dʒʌst', 'əˈdʒʌstə']","['just', 'adjuster']",4,0,0,0,6,"[0, 0, 0, 0, 0]"
administer,ədˈmɪnɪstə,0,0,0,0,0,0,[],[],4,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
administrative,ədˈmɪnɪstrətɪv,0,0,0,0,0,0,[],[],6,0,0,0,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
administrator,ədˈmɪnɪstreɪtə,0,0,0,0,0,0,[],[],4,0,0,0,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
admirable,ˈadm(ə)rəb(ə)l,0,0,0,0,0,0,[],[],5,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
admiral,ˈadm(ə)r(ə)l,0,0,0,0,0,0,[],[],2,0,0,0,8,"[0, 0, 0, 0, 0, 0, 0]"
admiration,adməˈreɪʃ(ə)n,0,0,0,1,1.491361694,1.491361694,['adəˈreɪʃ(ə)n'],['adoration'],6,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
admire,ədˈmʌɪə,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0]"
admirer,ədˈmʌɪərə,0,0,0,0,0,0,[],[],3,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0]"
admissible,ədˈmɪsɪb(ə)l,0,0,0,0,0,0,[],[],4,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
admission,ədˈmɪʃ(ə)n,0,0,0,1,2.597695186,2.597695186,['əˈdɪʃ(ə)n'],['addition'],4,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0]"
admit,ədˈmɪt,0,0,0,0,0,0,[],[],4,0,0,0,6,"[0, 0, 0, 0, 0]"
admittance,ədˈmɪt(ə)ns,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0]"
adolescence,adəˈlɛs(ə)ns,1,1.977723605,1.977723605,1,1.977723605,1.977723605,['adəˈlɛs(ə)nt'],['adolescent'],3,1,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
adopt,əˈdɒpt,2,1.830906343,1.830906343,2,1.830906343,1.830906343,"['əˈdapt', 'əˈdɛpt']","['adapt', 'adept']",2,1,1,1,6,"[0, 0, 2, 0, 0]"
adoptive,əˈdɒptɪv,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0]"
adorable,əˈdɔːrəb(ə)l,0,0,0,0,0,0,[],[],3,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 0]"
adore,əˈdɔː,3,1.89851724,1.89851724,5,2.164572778,2.164572778,"['əˈfɔː', 'dɔː', 'əˈʃɔː', 'əˈduː', 'əˈdɔːn']","['afore', 'door', 'ashore', 'ado', 'adorn']",2,2,0.333333333,0.1,4,"[0, 2, 1]"
adrift,əˈdrɪft,0,0,0,1,2.515873844,2.515873844,['drɪft'],['drift'],3,0,0,0,4,"[0, 0, 0, 0, 0, 0]"
adult,ˈadʌlt,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0]"
adultery,əˈdʌlt(ə)ri,1,1.322219295,1.322219295,1,1.322219295,1.322219295,['əˈdʌlt(ə)rə'],['adulterer'],4,1,0,0,8,"[0, 0, 0, 0, 0, 0, 0, 1]"
adulthood,ˈadʌlthʊd,0,0,0,0,0,0,[],[],3,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0]"
advance,ədˈvɑːns,0,0,0,0,0,0,[],[],3,0,0,0,7,"[0, 0, 0, 0, 0, 0]"
advantage,ədˈvɑːntɪdʒ,0,0,0,1,0.477121255,0.477121255,['ədˈvɑːntɪdʒd'],['advantaged'],4,0,0,0,9,"[0, 0, 0, 0, 0, 0, 0, 0]"
advantageous,advənˈteɪdʒəs,0,0,0,0,0,0,[],[],7,0,0,0,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
